id,start_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,picture,prequel,genre1,genre2,genre3,genre4,genre5
16782,2013-05-31,7.88,850884,white,movie,1,pg_13,The Garden of Words,https://cdn.myanimelist.net/images/anime/1597/112995l.jpg,False,Award Winning,Drama,Romance,Visual Arts,
32245,2016-04-07,7.13,141850,white,tv,26,r,Kuromukuro,https://cdn.myanimelist.net/images/anime/12/82281l.jpg,False,Action,Mecha,Sci-Fi,,
32949,2017-01-13,7.13,677297,white,tv,12,r+,Scum's Wish,https://cdn.myanimelist.net/images/anime/5/83937l.jpg,False,Drama,Love Polygon,Romance,School,Seinen
33489,2017-01-09,7.81,635134,white,tv,25,g,Little Witch Academia,https://cdn.myanimelist.net/images/anime/13/83934l.jpg,False,Adventure,Comedy,Fantasy,School,
17265,2013-10-05,7.92,1103802,white,tv,25,pg_13,Log Horizon,https://cdn.myanimelist.net/images/anime/5/84004l.jpg,False,Action,Adult Cast,Adventure,Fantasy,Video Game
9756,2011-01-07,8.36,1267911,white,tv,12,pg_13,Puella Magi Madoka Magica,https://cdn.myanimelist.net/images/anime/11/55225l.jpg,False,Award Winning,Drama,Fantasy,Mahou Shoujo,Psychological
32182,2016-07-11,8.49,2028453,white,tv,12,pg_13,Mob Psycho 100,https://cdn.myanimelist.net/images/anime/8/80356l.jpg,False,Action,Comedy,Super Power,Supernatural,
37510,2019-01-07,8.8,1492885,white,tv,13,pg_13,Mob Psycho 100 II,https://cdn.myanimelist.net/images/anime/1918/96303l.jpg,True,Action,Comedy,Super Power,Supernatural,
38663,2020-02-06,6.45,38429,white,ona,12,r,Cagaster of an Insect Cage,https://cdn.myanimelist.net/images/anime/1842/105458l.jpg,False,Action,Drama,Sci-Fi,,
457,2005-10-23,8.66,816324,white,tv,26,pg_13,Mushi-Shi,https://cdn.myanimelist.net/images/anime/2/73862l.jpg,False,Adult Cast,Adventure,Historical,Iyashikei,Mystery
877,2006-04-05,8.55,648609,white,tv,47,r+,Nana,https://cdn.myanimelist.net/images/anime/2/11232l.jpg,False,Adult Cast,Drama,Love Polygon,Music,Romance
23755,2014-10-05,7.65,2025069,white,tv,24,pg_13,The Seven Deadly Sins,https://cdn.myanimelist.net/images/anime/8/65409l.jpg,False,Action,Adventure,Fantasy,Shounen,
30347,2015-06-17,7.49,188041,white,ova,2,pg_13,The Seven Deadly Sins: Ban's Side Story OVA,https://cdn.myanimelist.net/images/anime/1973/97505l.jpg,False,Action,Adventure,Fantasy,Shounen,
34577,2018-01-13,7.57,1108340,white,tv,24,pg_13,The Seven Deadly Sins: Revival of the Commandments,https://cdn.myanimelist.net/images/anime/11/90089l.jpg,True,Action,Adventure,Fantasy,Shounen,
31722,2016-08-28,6.97,707066,white,tv,4,pg_13,The Seven Deadly Sins: Signs of Holy War,https://cdn.myanimelist.net/images/anime/13/79331l.jpg,True,Action,Adventure,Fantasy,Shounen,
1210,2006-07-10,8.31,730990,white,tv,24,r+,Welcome to the N.H.K.,https://cdn.myanimelist.net/images/anime/3/52675l.jpg,False,Adult Cast,Comedy,Drama,Otaku Culture,Psychological
19815,2014-04-09,8.07,2361440,white,tv,12,pg_13,"No Game, No Life",https://cdn.myanimelist.net/images/anime/1074/111944l.jpg,True,Comedy,Ecchi,Fantasy,Isekai,Strategy Game
1698,2007-01-12,8.26,311972,white,tv,23,pg_13,Nodame Cantabile,https://cdn.myanimelist.net/images/anime/9/11986l.jpg,False,Adult Cast,Comedy,Josei,Music,Romance
5690,2010-01-15,8.23,127075,white,tv,11,pg_13,Nodame Cantabile Finale,https://cdn.myanimelist.net/images/anime/1084/119096l.jpg,True,Adult Cast,Comedy,Josei,Music,Romance
8190,2010-04-26,7.55,29720,white,ova,1,pg_13,Nodame Cantabile Finale OVA,https://cdn.myanimelist.net/images/anime/13/22335l.jpg,True,Adult Cast,Comedy,Josei,Romance,
4477,2008-10-10,8.14,123779,white,tv,11,pg_13,Nodame Cantabile: Paris-hen,https://cdn.myanimelist.net/images/anime/4/11918l.jpg,True,Adult Cast,Comedy,Josei,Music,Romance
20507,2014-01-05,7.95,2130615,white,tv,12,pg_13,Noragami,https://cdn.myanimelist.net/images/anime/1886/128266l.jpg,False,Action,Fantasy,Mythology,Shounen,
30503,2015-10-03,8.15,1435946,white,tv,13,pg_13,Noragami Aragoto,https://cdn.myanimelist.net/images/anime/1689/94850l.jpg,True,Action,Fantasy,Mythology,Shounen,
30885,2015-11-17,7.85,257150,white,ova,2,pg_13,Noragami Aragoto OVA,https://cdn.myanimelist.net/images/anime/11/77510l.jpg,False,Comedy,Fantasy,Mythology,Shounen,
20767,2014-02-17,7.71,322864,white,ova,2,pg_13,Noragami OVA,https://cdn.myanimelist.net/images/anime/7/77177l.jpg,False,Comedy,Fantasy,Mythology,School,Shounen
